ParName   Value   Gradient
sel_devs_fsh(19,5)    0.0615523  1.44592e-05
sel_devs_fsh(19,6)   0.00691357 -0.000209617
sel_devs_fsh(19,7)    0.0350565  0.000101105
sel_devs_fsh(19,8)    0.0267454  0.000126192
sel_devs_fsh(19,9)    0.0271796 -1.72505e-05
sel_devs_fsh(19,10)    0.0324273 -0.000156037
sel_devs_fsh(19,11)    0.0467843  0.000284416
sel_devs_fsh(19,12)    0.0544579 -0.000200695
sel_devs_fsh(20,1)    -0.151681  7.42734e-06
sel_devs_fsh(20,2)     0.045775   7.5867e-06
sel_devs_fsh(20,3)     0.139483  9.43492e-06
sel_devs_fsh(20,4)   -0.0778142  3.32995e-05
sel_devs_fsh(20,5)    -0.229997  3.11258e-05
sel_devs_fsh(20,6)    0.0734573 -0.000266484
sel_devs_fsh(20,7)    0.0425229  0.000338466
sel_devs_fsh(20,8)    0.0423708 -5.19155e-05
sel_devs_fsh(20,9)    0.0183093 -2.87339e-05
sel_devs_fsh(20,10)    0.0241973 -0.000147828
sel_devs_fsh(20,11)    0.0332071  0.000273782
sel_devs_fsh(20,12)    0.0401685 -0.000208542
sel_devs_fsh(21,1)    -0.159424  2.93478e-05
sel_devs_fsh(21,2)   -0.0309352 -5.58447e-06
sel_devs_fsh(21,3)    0.0777471 -3.40615e-05
sel_devs_fsh(21,4)      0.16448   0.00010544
sel_devs_fsh(21,5)   -0.0159639  9.36134e-05
sel_devs_fsh(21,6)   -0.0742963 -0.000222641
sel_devs_fsh(21,7)    0.0222445  6.40715e-05
sel_devs_fsh(21,8)   -0.0306661 -1.65502e-05
sel_devs_fsh(21,9)    0.0229736  1.55311e-05
sel_devs_fsh(21,10)   0.00367719 -0.000144613
sel_devs_fsh(21,11)    0.0025324  0.000290037
sel_devs_fsh(21,12)    0.0176298 -0.000179469
sel_devs_fsh(22,1)    -0.161061  -3.1878e-05
sel_devs_fsh(22,2)   -0.0780097 -2.64139e-05
sel_devs_fsh(22,3)     0.122345 -4.13136e-05
sel_devs_fsh(22,4)   -0.0839409   3.9007e-05
sel_devs_fsh(22,5)     0.013926  3.53711e-05
sel_devs_fsh(22,6)   -0.0374014 -0.000161939
sel_devs_fsh(22,7)   -0.0958531  0.000142086
sel_devs_fsh(22,8)     0.136144  2.22331e-05
sel_devs_fsh(22,9)    0.0865077 -1.30808e-05
sel_devs_fsh(22,10)    0.0636191 -5.19052e-05
sel_devs_fsh(22,11)    0.0280396  0.000273925
sel_devs_fsh(22,12)   0.00568468 -0.000186808
sel_devs_fsh(23,1)    -0.194275 -1.89281e-05
sel_devs_fsh(23,2)    -0.114702 -2.59463e-05
sel_devs_fsh(23,3)     0.461232 -3.50493e-05
sel_devs_fsh(23,4)    0.0451779  2.76591e-05
sel_devs_fsh(23,5)      0.12446  7.50208e-05
sel_devs_fsh(23,6)   -0.0526489 -0.000183587
sel_devs_fsh(23,7)     0.133624  0.000154978
sel_devs_fsh(23,8)   -0.0935516  8.24385e-05
sel_devs_fsh(23,9)   -0.0905009    1.958e-05
sel_devs_fsh(23,10)    -0.112042 -0.000148503
sel_devs_fsh(23,11)   -0.0655623  0.000244659
sel_devs_fsh(23,12)   -0.0412084  -0.00016004
sel_devs_fsh(24,1)    -0.162909 -4.42184e-05
sel_devs_fsh(24,2)   -0.0738074  3.72572e-05
sel_devs_fsh(24,3)    -0.382388 -4.47459e-05
sel_devs_fsh(24,4)     0.167677  7.76368e-05
sel_devs_fsh(24,5)    0.0364677  7.32644e-05
sel_devs_fsh(24,6)    0.0825902 -0.000190425
sel_devs_fsh(24,7)     0.127054   0.00022232
sel_devs_fsh(24,8)     0.105124  2.08817e-05
sel_devs_fsh(24,9)    0.0260596 -7.67613e-05
sel_devs_fsh(24,10)    0.0689095 -8.10214e-05
sel_devs_fsh(24,11)    0.0215954  0.000254911
sel_devs_fsh(24,12)    -0.016372 -0.000244459
sel_devs_fsh(25,1)    -0.153411  2.58484e-05
sel_devs_fsh(25,2)   -0.0416484 -6.28809e-05
sel_devs_fsh(25,3)    -0.345604  -6.4574e-06
sel_devs_fsh(25,4)    0.0383768  0.000113536
sel_devs_fsh(25,5)     0.183455  5.04976e-05
sel_devs_fsh(25,6)    0.0585036 -0.000210806
sel_devs_fsh(25,7)   -0.0281466  6.59614e-05
sel_devs_fsh(25,8)    0.0457857  0.000142223
sel_devs_fsh(25,9)     0.059351  4.82767e-05
sel_devs_fsh(25,10)   -0.0170293 -0.000185238
sel_devs_fsh(25,11)     0.128427    0.0001801
sel_devs_fsh(25,12)      0.07194 -0.000165359
sel_devs_fsh(26,1)   -0.0808218  2.30553e-05
sel_devs_fsh(26,2)   0.00260207  -4.5733e-05
sel_devs_fsh(26,3)    -0.371011 -5.13505e-05
sel_devs_fsh(26,4)    -0.322502  8.73857e-05
sel_devs_fsh(26,5)    -0.223307  6.66642e-05
sel_devs_fsh(26,6)   -0.0621928 -0.000213889
sel_devs_fsh(26,7)     0.126688  0.000166464
sel_devs_fsh(26,8)   -0.0284439  -1.6822e-06
sel_devs_fsh(26,9)     0.165126  -6.7612e-06
sel_devs_fsh(26,10)     0.104494 -7.18257e-05
sel_devs_fsh(26,11)     0.353638  0.000192739
sel_devs_fsh(26,12)      0.33573 -0.000141569
sel_devs_fsh(27,1)    -0.156465 -6.43243e-05
sel_devs_fsh(27,2)   -0.0672142 -6.09075e-05
sel_devs_fsh(27,3)     0.503111  -2.9231e-05
sel_devs_fsh(27,4)    -0.261923  0.000106515
sel_devs_fsh(27,5)    -0.344254  7.39417e-05
sel_devs_fsh(27,6)    -0.042931 -0.000158822
sel_devs_fsh(27,7)   -0.0279181   5.0605e-05
sel_devs_fsh(27,8)     0.215256   9.1008e-05
sel_devs_fsh(27,9)     0.108118  6.77121e-06
sel_devs_fsh(27,10)     0.233138 -0.000229576
sel_devs_fsh(27,11)    -0.113107  0.000262974
sel_devs_fsh(27,12)   -0.0458121 -6.71215e-05
sel_devs_fsh(28,1)    -0.144821 -2.29063e-05
sel_devs_fsh(28,2)     -0.48952 -3.36306e-05
sel_devs_fsh(28,3)   -0.0305296  4.37666e-05
sel_devs_fsh(28,4)     0.796222  0.000134168
sel_devs_fsh(28,5) -8.75584e-05  6.19547e-05
sel_devs_fsh(28,6)    0.0152706 -0.000174531
sel_devs_fsh(28,7)    0.0857941  0.000131576
sel_devs_fsh(28,8)    0.0254098  3.77003e-05
sel_devs_fsh(28,9)   -0.0125711 -2.82909e-05
sel_devs_fsh(28,10)   -0.0511606 -0.000205256
sel_devs_fsh(28,11)    -0.124657  0.000180302
sel_devs_fsh(28,12)    -0.069347 -9.28897e-05
sel_devs_fsh(29,1)   -0.0509088 -6.54735e-05
sel_devs_fsh(29,2)   0.00936656 -3.56295e-05
sel_devs_fsh(29,3)    -0.776685  4.27264e-05
sel_devs_fsh(29,4)    -0.295397  3.45084e-05
sel_devs_fsh(29,5)     0.908105  -6.4775e-05
sel_devs_fsh(29,6)     0.259696 -0.000248886
sel_devs_fsh(29,7)    0.0249927  0.000217038
sel_devs_fsh(29,8)   -0.0247325  8.08796e-05
sel_devs_fsh(29,9)   -0.0332836  6.60873e-05
sel_devs_fsh(29,10)  -0.00732692 -0.000151025
sel_devs_fsh(29,11)    0.0217356  0.000185554
sel_devs_fsh(29,12)   -0.0355652 -0.000101411
sel_devs_fsh(30,1)   -0.0207909 -7.28676e-05
sel_devs_fsh(30,2)     0.186479 -2.39487e-05
sel_devs_fsh(30,3)    -0.288914 -0.000120572
sel_devs_fsh(30,4)    -0.687635  2.06936e-06
sel_devs_fsh(30,5)    -0.358722  6.10884e-05
sel_devs_fsh(30,6)     0.466113 -0.000101758
sel_devs_fsh(30,7)     0.148336  0.000162578
sel_devs_fsh(30,8)     0.163764  9.86515e-05
sel_devs_fsh(30,9)     0.133718    4.606e-05
sel_devs_fsh(30,10)      0.11644 -0.000170373
sel_devs_fsh(30,11)    0.0859285  0.000183809
sel_devs_fsh(30,12)     0.055282 -9.19643e-05
sel_devs_fsh(31,1)   -0.0354216  5.72388e-06
sel_devs_fsh(31,2)     0.515627 -4.15574e-05
