"Scenario","Year","Quantity","Value","Reference_value","Percent_change"
"Drop BTS",1978,"Fishing mortality",0.195232367678703,0.368543302645516,-47.02593527619
"Drop BTS",1979,"Spawning biomass",2158.61005513034,1037.76216083048,108.006240408967
"Drop BTS",1979,"Total biomass",8881.64129264212,5432.33191518452,63.4959246104981
"Drop BTS",1979,"Age-1 recruitment",74804.8260936332,62002.8294759874,20.6474393601727
"Drop BTS",1979,"Fishing mortality",0.177315886425601,0.385556905070987,-54.0104497952241
"Drop BTS",1980,"Spawning biomass",2699.8269652787,1229.18770992026,119.643179271117
"Drop BTS",1980,"Total biomass",9880.54862563442,6186.0951027763,59.7218998653944
"Drop BTS",1980,"Age-1 recruitment",23267.2835133741,29638.7486038076,-21.4970786236737
"Drop BTS",1980,"Fishing mortality",0.148166774743187,0.35240668258246,-57.9557420258291
"Drop BTS",1981,"Spawning biomass",3631.43369156662,1886.27720830621,92.5185585435492
"Drop BTS",1981,"Total biomass",11669.6258437617,7700.53187308036,51.543114632855
"Drop BTS",1981,"Age-1 recruitment",32335.8984867923,33817.0595579556,-4.37992270920207
"Drop BTS",1981,"Fishing mortality",0.108334352107446,0.250245567974278,-56.7087829029675
"Drop BTS",1982,"Spawning biomass",4357.74880432923,2628.41908545053,65.793530736834
"Drop BTS",1982,"Total biomass",13280.3389419087,9295.94731590317,42.8615986150133
"Drop BTS",1982,"Age-1 recruitment",15834.1859313304,18903.016446215,-16.2346074427667
"Drop BTS",1982,"Fishing mortality",0.0811106420681479,0.159440617420594,-49.1279929917838
"Drop BTS",1983,"Spawning biomass",5130.17980881312,3535.74369929496,45.0947875502428
"Drop BTS",1983,"Total biomass",13762.9548625381,10646.7822571834,29.2686797764859
"Drop BTS",1983,"Age-1 recruitment",44725.1483353075,51935.4354176572,-13.8831744152439
"Drop BTS",1983,"Fishing mortality",0.0805555104129823,0.131610401598134,-38.7924438837634
"Drop BTS",1984,"Spawning biomass",4906.76147984326,3672.65287111075,33.6026477873818
"Drop BTS",1984,"Total biomass",12918.2616984956,10380.0018958882,24.4533655009534
"Drop BTS",1984,"Age-1 recruitment",12356.3239294378,14221.9210816994,-13.117757731494
"Drop BTS",1984,"Fishing mortality",0.090129877427638,0.128668708456792,-29.9519840459856
"Drop BTS",1985,"Spawning biomass",5069.7981338581,4200.48484101069,20.6955464845397
"Drop BTS",1985,"Total biomass",14131.4394032225,12234.4637462911,15.5051802536618
"Drop BTS",1985,"Age-1 recruitment",28759.7649919967,32618.1786249284,-11.8290284607825
"Drop BTS",1985,"Fishing mortality",0.10001949145958,0.130051995142995,-23.0926896972199
"Drop BTS",1986,"Spawning biomass",4596.86209353998,4091.82607299569,12.3425583476608
"Drop BTS",1986,"Total biomass",12263.6182081852,11065.7909060193,10.8245972867094
"Drop BTS",1986,"Age-1 recruitment",10688.9083043774,12646.5349603173,-15.4795496322314
"Drop BTS",1986,"Fishing mortality",0.103453516938996,0.121707717262534,-14.9983918309488
